Account Length,Area Code,International Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,International Mins,International calls,International Charge,CustServ Calls,Churn,Churn_Probability,Churn_Flag_Predicted,Churn_Risk_Level
128,415, no, yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,0,0.43602757086221494,0,Medium Risk
107,415, no, yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,0.4865106390481798,0,Medium Risk
137,415, no, no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,0.4714170168097111,0,Medium Risk
84,408, yes, no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,0.466612978365017,0,Medium Risk
75,415, yes, no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,0.4761174182268234,0,Medium Risk
118,510, yes, no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,0.4689424952215757,0,Medium Risk
121,510, no, yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,0.4561004970102588,0,Medium Risk
147,415, yes, no,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,0.4804909621057001,0,Medium Risk
117,408, no, no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,0.4682176319344879,0,Medium Risk
141,415, yes, yes,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,0.4503242315767158,0,Medium Risk
65,415, no, no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,0.5520319010304533,1,Medium Risk
74,415, no, no,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,0,0.46295654757610594,0,Medium Risk
168,408, no, no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,0.4878270387198144,0,Medium Risk
95,510, no, no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,0.4604672787359309,0,Medium Risk
62,415, no, no,0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,0,0.5070772246953306,1,Medium Risk
161,415, no, no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,0.5447055931640774,1,Medium Risk
85,408, no, yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,0.4804497209311972,0,Medium Risk
93,510, no, no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,0.45224945089829105,0,Medium Risk
76,510, no, yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,0,0.43471815192838276,0,Medium Risk
73,415, no, no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,0,0.4626609545557504,0,Medium Risk
147,415, no, no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,0.500573610952321,1,Medium Risk
77,408, no, no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,0.522773808974968,1,Medium Risk
130,415, no, no,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,0.48280619106924005,0,Medium Risk
111,415, no, no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,0.44683594495173046,0,Medium Risk
132,510, no, no,0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,0,0.491207891446982,0,Medium Risk
174,415, no, no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,0.46027739122536765,0,Medium Risk
57,408, no, yes,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,0.47304623037834703,0,Medium Risk
54,408, no, no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,0.4521847223263728,0,Medium Risk
20,415, no, no,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,0.47713059786448214,0,Medium Risk
49,510, no, no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,0,0.4645661456503663,0,Medium Risk
142,415, no, no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,0.46941447470741016,0,Medium Risk
75,510, no, no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,0.4635852918654195,0,Medium Risk
172,408, no, no,0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,0.45845939670718827,0,Medium Risk
12,408, no, no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,0.48581854541967084,0,Medium Risk
57,408, no, yes,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,0.47266709462597634,0,Medium Risk
72,415, no, yes,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,0.4541747023230085,0,Medium Risk
36,408, no, yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,0.4731250859145863,0,Medium Risk
78,415, no, no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,0,0.4467957393421206,0,Medium Risk
136,415, yes, yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,0.45978027346395484,0,Medium Risk
149,408, no, no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,0,0.4600435710625429,0,Medium Risk
98,408, no, no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,0.4703757447525711,0,Medium Risk
135,408, yes, yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,0.47163362064359576,0,Medium Risk
34,510, no, no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,0,0.4632190824209377,0,Medium Risk
160,415, no, no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,0.4397195468466044,0,Medium Risk
64,510, no, no,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,0.461868448606203,0,Medium Risk
59,408, no, yes,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,0.46282938903348236,0,Medium Risk
65,415, no, no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,0.4866889678076836,0,Medium Risk
142,408, no, no,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,0,0.4658152833585136,0,Medium Risk
119,415, no, no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,0.5359782456419927,1,Medium Risk
97,415, no, yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,0,0.4650983291175922,0,Medium Risk
52,408, no, no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,0.4496070459714826,0,Medium Risk
60,408, no, no,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,0,0.4678215411468108,0,Medium Risk
10,408, no, no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,0.4721068253050163,0,Medium Risk
96,415, no, no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,0.4585169270268674,0,Medium Risk
87,415, no, no,0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,0.53217425907146,1,Medium Risk
81,408, no, no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,0.4612647943813147,0,Medium Risk
141,415, no, no,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,0,0.4663031786524066,0,Medium Risk
121,408, no, yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,0.45170657608719833,0,Medium Risk
68,415, no, no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,0.4671889958628317,0,Medium Risk
125,408, no, no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,0,0.46242834059113874,0,Medium Risk
174,408, no, no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,0.4703037872832075,0,Medium Risk
116,415, no, yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,0.47629650949025554,0,Medium Risk
74,510, no, yes,33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,0,0.4382897230444268,0,Medium Risk
149,408, no, yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,0.46258761892706923,0,Medium Risk
38,408, no, no,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,0,0.4598636737543738,0,Medium Risk
